nombre,direccion,barrio,telefono,cantidadcamas,cantidadhabitaciones,piscina,administrador,telefono2
HOTEL ZONA TROPICAL ,CALLE 11 NUMERO 12-27,CENTRO ,"3,206,813,194",14,12,SI,JOSE GERMAN CIFUENTES ,"3,206,813,194"
HOTEL LAS BRISAS DEL RECUERDO,CARRERA 15 NUMERO 16-18,CENTRO ,"3,217,657,657",21,15,NO,MARIA FARIDE MORA,"3,217,657,657"
HOTEL LA MANSION ,CARRERA15 NUMERO 16-58,CENTRO ,"8,574,874",26,16,NO,GLORIA PATRICIA MELGAREJO ,"8,574,874"
HOTEL LOS ANGELES ,CALLE 17 NUMERO 6-59,CENTRO ,"8,573,394",23,18,NO,CECILIA DE LOS ANGELES HERNANDEZ,"8,573,394"
HOTEL EL PALMAR LA DORADA ,CALLE 16 NUMERO 3-47,BARRIO LAS PALMAS ,"3,116,091,174",43,23,SI,LUIZ ARTURO OLAYA ,"3,116,091,174"
HOTEL OCALA ,VIA HONDA - PURNIO,PURNIO,"8,566,568",130,68,SI,NANCY MAYURIBET RUEDA BOTIA,"3,117,193,149"
HOTEL CONDOMINIO EL CORTIJO ,KILOMETTRO 1 VIA HONDA ,KILOMETRO 1 ,"3,158,193,483",36,12,SI,LUIZ GUILLERMO MONTAÑA ,"3,158,193,483"
HOSPEDAJE RINCON PAISA,CARRERA 6 NUMERO 10-40,CENTRO,"3,147,279,498",6,4,NO,JENIFER GIRALDO GIRALDO,"3,147,279,498"
HOTEL NORCASIA PARK,CARRERA 6 NUMERO 10-18,CENTRO,"3,207,711,535",15,10,NO,BERNARDO TRIANA ANZOLA,"3,207,711,535"
HOTEL AMANI,CARRERA 6 NUMERO 9-05,CENTRO,"3,136,780,330",16,12,NO,AGELO IVAN GIRALDO,"3,136,780,330"
HOTEL FAMILIAR ,CARRERA 4 NUMERO  10-05,BARRIO LAS BRISAS,"3,147,474,098",19,17,NO,LICETH JHOANA GALLEGO,"3,147,474,098"
HOTEL DANUBIO,CALLE 10 NUMERO  3-14,BARRIO JORGE ISAAC,"3,207,496,915",24,20,SI,MIRIAN LEMUS,"3,207,496,915"
CASA HOTEL LOS FAROLES,CARRERA 8 NUMERO. 5-22,CALLE LOS FAROLES,"3,206,797,877",18,12,NO,NOHEMI LOZANO GONZALES,"3,206,797,877"
HOTEL LA PARSELA ,VIA HONDA TOLIMA ,CENTRO,"3,206,897,181",15,12,NO,INGRI LEON ,"3,206,897,181"
HOTEL TRANQUILANDIA ,VIA HONDA TOLIMA ,CENTRO,"3,153,784,772",19,14,NO,MARIA OLGA TORRES DE CARDENAS ,"3,153,784,772"
